Title,Year,Runtime,Genre,IMDB Rating,Grosses,Action,Adventure,Fantasy,Drama,Romance,Sci-Fi,Animation,Crime,Thriller,Comedy,Family,Biography,Music,History,Mystery,Horror,Musical,War,Western,Sport,Documentary
Forrest Gump,(1994),142,"['Drama', 'Romance']",8.8,678226465,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Doctor Strange,(2016),115,"['Action', 'Adventure', 'Fantasy']",7.5,677796076,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Sixth Sense,(1999),107,"['Drama', 'Mystery', 'Thriller']",8.2,672806432,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0

Man of Steel,(2013),143,"['Action', 'Adventure', 'Sci-Fi']",7.1,668045518,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Ice Age: The Meltdown,(2006),91,"['Animation', 'Adventure', 'Comedy']",6.8,667094506,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

