Title,Year,Runtime,Genre,IMDB Rating,Grosses,Action,Adventure,Fantasy,Drama,Romance,Sci-Fi,Animation,Crime,Thriller,Comedy,Family,Biography,Music,History,Mystery,Horror,Musical,War,Western,Sport,Documentary
Joker,(I) (2019),122,"['Crime', 'Drama', 'Thriller']",8.4,1074458282,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0

Star Wars: Episode IX - The Rise of Skywalker,(2019),141,"['Action', 'Adventure', 'Fantasy']",6.5,1074149279,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Toy Story 4,(2019),100,"['Animation', 'Adventure', 'Comedy']",7.7,1073394593,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Toy Story 3,(2010),103,"['Animation', 'Adventure', 'Comedy']",8.3,1066970811,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Pirates of the Caribbean: Dead Man's Chest,(2006),151,"['Action', 'Adventure', 'Fantasy']",7.3,1066179747,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Rogue One,(2016),133,"['Action', 'Adventure', 'Sci-Fi']",7.8,1058682142,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Aladdin,(2019),128,"['Adventure', 'Comedy', 'Family']",6.9,1050693953,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0

Pirates of the Caribbean: On Stranger Tides,(2011),137,"['Action', 'Adventure', 'Fantasy']",6.6,1045713802,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Despicable Me 3,(2017),89,"['Animation', 'Adventure', 'Comedy']",6.2,1034800131,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Finding Dory,(2016),97,"['Animation', 'Adventure', 'Comedy']",7.3,1028570942,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Star Wars: Episode I - The Phantom Menace,(1999),136,"['Action', 'Adventure', 'Fantasy']",6.5,1027082707,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Alice in Wonderland,(I) (2010),108,"['Adventure', 'Family', 'Fantasy']",6.4,1025468216,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Zootopia,(2016),108,"['Animation', 'Adventure', 'Comedy']",8,1024121104,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Harry Potter and the Sorcerer's Stone,(2001),152,"['Adventure', 'Family', 'Fantasy']",7.6,1023842938,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

The Hobbit: An Unexpected Journey,(2012),169,"['Adventure', 'Fantasy']",7.8,1017030651,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Dark Knight,(2008),152,"['Action', 'Crime', 'Drama']",9,1006234167,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0

Jurassic World: Dominion,(2022),147,"['Action', 'Adventure', 'Sci-Fi']",5.6,1001978080,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

