Title,Year,Runtime,Genre,IMDB Rating,Grosses
Harry Potter and the Chamber of Secrets,(2002),161,"['Adventure', 'Family', 'Fantasy']",7.4,925054421

Bohemian Rhapsody,(2018),134,"['Biography', 'Drama', 'Music']",7.9,910809311

Chang jin hu,(2021),176,"['Action', 'Drama', 'History']",5.4,902548476

The Lord of the Rings: The Fellowship of the Ring,(2001),178,"['Action', 'Adventure', 'Drama']",8.8,898204420

Harry Potter and the Goblet of Fire,(2005),157,"['Adventure', 'Family', 'Fantasy']",7.7,896815106

Spider-Man 3,(2007),139,"['Action', 'Adventure', 'Sci-Fi']",6.3,894983373

The Secret Life of Pets,(2016),87,"['Animation', 'Adventure', 'Comedy']",6.5,894328469

Ice Age: Dawn of the Dinosaurs,(2009),94,"['Animation', 'Adventure', 'Comedy']",6.9,886686817

Spectre,(I) (2015),148,"['Action', 'Adventure', 'Thriller']",6.8,880705312

Spider-Man: Homecoming,(2017),133,"['Action', 'Adventure', 'Sci-Fi']",7.4,880166924

Ice Age: Continental Drift,(2012),88,"['Animation', 'Adventure', 'Comedy']",6.5,877244782

Batman v Superman: Dawn of Justice,(2016),151,"['Action', 'Adventure', 'Sci-Fi']",6.4,873637528

Zhan lang II,(2017),123,"['Action', 'Adventure', 'Drama']",5.9,870325439

Star Wars: Episode III - Revenge of the Sith,(2005),140,"['Action', 'Adventure', 'Fantasy']",7.6,868390560

The Hunger Games: Catching Fire,(2013),146,"['Action', 'Adventure', 'Sci-Fi']",7.5,865011746

Guardians of the Galaxy Vol. 2,(2017),136,"['Action', 'Adventure', 'Comedy']",7.6,863756051

Inside Out,(I) (2015),95,"['Animation', 'Adventure', 'Comedy']",8.1,858848019

Venom,(2018),112,"['Action', 'Adventure', 'Sci-Fi']",6.6,856085151

Thor: Ragnarok,(2017),130,"['Action', 'Adventure', 'Comedy']",7.9,853983879

The Twilight Saga: Breaking Dawn - Part 2,(2012),115,"['Adventure', 'Drama', 'Fantasy']",5.5,848853382

Inception,(2010),148,"['Action', 'Adventure', 'Sci-Fi']",8.8,836848102

Transformers: Revenge of the Fallen,(2009),149,"['Action', 'Adventure', 'Sci-Fi']",5.9,836303693

Spider-Man,(2002),121,"['Action', 'Adventure', 'Sci-Fi']",7.4,825025036

Black Panther: Wakanda Forever,(2022),161,"['Action', 'Adventure', 'Drama']",6.7,823221911

Wonder Woman,(2017),141,"['Action', 'Adventure', 'Fantasy']",7.4,822854286

"Ni hao, Li Huanying",(2021),128,"['Comedy', 'Romance']",7,822009764

Independence Day,(1996),145,"['Action', 'Adventure', 'Sci-Fi']",7,817400891

Fantastic Beasts and Where to Find Them,(2016),132,"['Adventure', 'Family', 'Fantasy']",7.2,814044001

Shrek the Third,(2007),93,"['Animation', 'Adventure', 'Comedy']",6.1,813367380

Coco,(I) (2017),105,"['Animation', 'Adventure', 'Comedy']",8.4,807817888

Jumanji: The Next Level,(2019),123,"['Action', 'Adventure', 'Comedy']",6.7,801693929

Harry Potter and the Prisoner of Azkaban,(2004),142,"['Adventure', 'Family', 'Fantasy']",7.9,797660766

Pirates of the Caribbean: Dead Men Tell No Tales,(2017),129,"['Action', 'Adventure', 'Fantasy']",6.5,794881442

E.T. the Extra-Terrestrial,(1982),115,"['Adventure', 'Family', 'Sci-Fi']",7.9,792910554

Mission: Impossible - Fallout,(2018),147,"['Action', 'Adventure', 'Thriller']",7.7,791657398

2012,(I) (2009),158,"['Action', 'Adventure', 'Sci-Fi']",5.8,791217826

Indiana Jones and the Kingdom of the Crystal Skull,(2008),122,"['Action', 'Adventure']",6.2,790653942

Spider-Man 2,(2004),127,"['Action', 'Adventure', 'Sci-Fi']",7.4,788976453

Furious 6,(2013),130,"['Action', 'Adventure', 'Crime']",7,788680968

Deadpool 2,(2018),119,"['Action', 'Adventure', 'Comedy']",7.6,785896609

Deadpool,(2016),108,"['Action', 'Comedy']",8,782836791

Star Wars,(1977),121,"['Action', 'Adventure', 'Fantasy']",8.6,775398007

No Time to Die,(2021),163,"['Action', 'Adventure', 'Thriller']",7.3,774153007

Interstellar,(2014),169,"['Adventure', 'Drama', 'Sci-Fi']",8.6,773867216

Guardians of the Galaxy,(2014),121,"['Action', 'Adventure', 'Comedy']",8,773350147

The Batman,(2022),176,"['Action', 'Crime', 'Drama']",7.8,770945583

Thor: Love and Thunder,(2022),118,"['Action', 'Adventure', 'Comedy']",6.2,760928081

Fast & Furious Presents: Hobbs & Shaw,(2019),137,"['Action', 'Adventure', 'Thriller']",6.5,760732926

The Da Vinci Code,(2006),149,"['Mystery', 'Thriller']",6.6,760006945

Maleficent,(2014),97,"['Adventure', 'Family', 'Fantasy']",6.9,758411779

The Amazing Spider-Man,(2012),136,"['Action', 'Adventure', 'Sci-Fi']",6.9,757930663

The Hunger Games: Mockingjay - Part 1,(2014),123,"['Action', 'Adventure', 'Sci-Fi']",6.6,755356711

Shrek Forever After,(2010),95,"['Animation', 'Adventure', 'Comedy']",6.3,752600867

Gravity,(2013),91,"['Drama', 'Sci-Fi', 'Thriller']",7.7,748049949

Madagascar 3: Europe's Most Wanted,(2012),95,"['Animation', 'Adventure', 'Comedy']",6.8,746921274

Suicide Squad,(2016),123,"['Action', 'Adventure', 'Fantasy']",5.9,746846894

X-Men: Days of Future Past,(2014),132,"['Action', 'Adventure', 'Sci-Fi']",7.9,746045700

"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),143,"['Adventure', 'Family', 'Fantasy']",6.9,745013115

Monsters University,(2013),104,"['Animation', 'Adventure', 'Comedy']",7.2,743559645

The Matrix Reloaded,(2003),138,"['Action', 'Sci-Fi']",7.2,741847937

Up,(2009),96,"['Animation', 'Adventure', 'Comedy']",8.3,735099102

Ne Zha zhi mo tong jiang shi,(2019),110,"['Animation', 'Action', 'Adventure']",7.4,726264074

F9,(2021),143,"['Action', 'Crime', 'Thriller']",5.2,726229501

Captain America: The Winter Soldier,(2014),136,"['Action', 'Adventure', 'Sci-Fi']",7.8,714421503

The Twilight Saga: Breaking Dawn - Part 1,(2011),117,"['Adventure', 'Drama', 'Fantasy']",4.9,712205856

The Twilight Saga: New Moon,(2009),130,"['Adventure', 'Drama', 'Fantasy']",4.7,711025481

Dawn of the Planet of the Apes,(2014),130,"['Action', 'Adventure', 'Drama']",7.6,710644566

Transformers,(2007),144,"['Action', 'Adventure', 'Sci-Fi']",7,709709780

The Amazing Spider-Man 2,(2014),142,"['Action', 'Adventure', 'Sci-Fi']",6.6,708982323

It,(I) (2017),135,['Horror'],7.3,701842551

Liu lang di qiu,(2019),125,"['Action', 'Adventure', 'Sci-Fi']",5.9,699992512

The Twilight Saga: Eclipse,(2010),124,"['Action', 'Adventure', 'Drama']",5,698509825

Mission: Impossible - Ghost Protocol,(2011),132,"['Action', 'Adventure', 'Thriller']",7.4,694713380

Mamma Mia!,(2008),108,"['Comedy', 'Musical', 'Romance']",6.5,694476782

The Hunger Games,(2012),142,"['Action', 'Adventure', 'Sci-Fi']",7.2,694394724

Tang ren jie tan an 3,(2021),136,"['Action', 'Adventure', 'Comedy']",5.6,686257563

Mission: Impossible - Rogue Nation,(2015),131,"['Action', 'Adventure', 'Thriller']",7.4,682716636

Forrest Gump,(1994),142,"['Drama', 'Romance']",8.8,678226465

Doctor Strange,(2016),115,"['Action', 'Adventure', 'Fantasy']",7.5,677796076

The Sixth Sense,(1999),107,"['Drama', 'Mystery', 'Thriller']",8.2,672806432

