Title,Year,Runtime,Genre,IMDB Rating,Grosses
Wo he wo de jia xiang,(2020),153,['Drama'],6.4,422390820

The Chronicles of Narnia: Prince Caspian,(2008),150,"['Action', 'Adventure', 'Family']",6.5,419665568

Sex and the City,(2008),145,"['Comedy', 'Drama', 'Romance']",5.7,418765519

Zhong guo ji zhang,(2019),111,"['Action', 'Adventure', 'Drama']",6.2,417282021

The Mummy,(1999),124,"['Action', 'Adventure', 'Fantasy']",7.1,415933406

The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),113,"['Adventure', 'Family', 'Fantasy']",6.3,415686217

